Agency,AgencyFull,Country,Total,FirstHalf,SecondHalf,SubSector,Sector,AgencyType,Ccode
Caritas Athens,Caritas Athens,Greece,104782.5296,47196.03285,57586.49676,Protection,Protection,NGO,Greece
Caritas Athens,Caritas Athens,Greece,97310.60255,45920.41284,51390.18971,Food,Food,NGO,Greece
Caritas Athens,Caritas Athens,Greece,36168.30137,15437.16254,20731.13883,Nutrition,Health and Nutrition,NGO,Greece
Caritas Athens,Caritas Athens,Greece,75131.73479,75131.73479,0,NFI,Shelter and NFIs,NGO,Greece
Caritas Athens,Caritas Athens,Greece,50694.77534,50694.77534,0,Hygiene kits,WASH,NGO,Greece
Caritas Hellas,Caritas Hellas,Greece,43792.68856,21896.34428,21896.34428,Child Protection,Protection,NGO,Greece
Caritas Hellas,Caritas Hellas,Greece,99984.03886,49992.01943,49992.01943,Food,Food,NGO,Greece
Caritas Hellas,Caritas Hellas,Greece,72757.61597,36378.80798,36378.80798,Supply chain,Logistics and Transport,NGO,Greece
Caritas Hellas,Caritas Hellas,Greece,861381.3806,430690.6903,430690.6903,NFI,Shelter and NFIs,NGO,Greece
Caritas Hellas,Caritas Hellas,Greece,154578.956,77289.47799,77289.47799,Wash,WASH,NGO,Greece
Human Appeal,Human Appeal,Greece,535000,267500,267500,Protection,Protection,INGO,Greece
Human Appeal,Human Appeal,Greece,1701500,850750,850750,Food,Food,INGO,Greece
Human Appeal,Human Appeal,Greece,785800,392900,392900,Health,Health and Nutrition,INGO,Greece
ICMC,ICMC International Catholic Migration Commission ,Greece,133333.4,66666.7,66666.7,Protection,Protection,INGO,Greece
ICMC,ICMC International Catholic Migration Commission ,Greece,157575.8,78787.9,78787.9,Food,Food,INGO,Greece
ICMC,ICMC International Catholic Migration Commission ,Greece,109091,54545.5,54545.5,Shelter and NFIs,Shelter and NFIs,INGO,Greece
IMC ,IMC International Medical Corps,Greece,260624.1497,130312.0748,130312.0748,SGBV,Protection,INGO,Greece
IMC ,IMC International Medical Corps,Greece,2607139.632,1303569.816,1303569.816,Health,Health and Nutrition,INGO,Greece
IMC ,IMC International Medical Corps,Greece,1656890.218,828445.1092,828445.1092,NFI,Shelter and NFIs,INGO,Greece
Internews,Internews,Greece,1404245,468435,935810,Communication with Communities,Protection,INGO,Greece
IOM ,IOM International Organization for Migration,Greece,66800000,33400000,33400000,"Protection, AVRR and Relocation",Protection,IOM,Greece
IOM ,IOM International Organization for Migration,Greece,300000,150000,150000,Psychosocial support,Health and Nutrition,IOM,Greece
IOM ,IOM International Organization for Migration,Greece,4000000,2200000,1800000,Transport,Logistics and Transport,IOM,Greece
IOM ,IOM International Organization for Migration,Greece,7300000,3650000,3650000,Camp management,Shelter and NFIs,IOM,Greece
IOM ,IOM International Organization for Migration,Greece,1148000,588000,560000,Operational Support,Operational Support,IOM,Greece
IRC ,IRC International Rescue Committee,Greece,4765254.833,2382627.417,2382627.417,Protection,Protection,INGO,Greece
IRC ,IRC International Rescue Committee,Greece,6083304.042,3041652.021,3041652.021,Transport,Logistics and Transport,INGO,Greece
IRC ,IRC International Rescue Committee,Greece,2867038.664,1433519.332,1433519.332,Shelter,Shelter and NFIs,INGO,Greece
IRC ,IRC International Rescue Committee,Greece,2309402.46,1154701.23,1154701.23,WASH,WASH,INGO,Greece
ISRAAID,IsraAID,Greece,400456,200228,200228,Health and Nutrition,Protection,INGO,Greece
ISRAAID,IsraAID,Greece,80076,40038,40038,Operational Support,Operational Support,INGO,Greece
KSPM-ERP,KSPM-ERP Ecumenical Refugee Programme of the Church of Greece ,Greece,168042,84021,84021,Protection,Protection,NGO,Greece
Mercy Corps,Mercy Corps,Greece,501213.5434,501213.5434,,Protection,Protection,INGO,Greece
Mercy Corps,Mercy Corps,Greece,1489988.925,1489988.925,,Food,Food,INGO,Greece
Mercy Corps,Mercy Corps,Greece,74714.08539,74714.08539,,Transport,Logistics and Transport,INGO,Greece
Mercy Corps,Mercy Corps,Greece,1147887.546,1147887.546,,Shelter grants ,Shelter and NFIs,INGO,Greece
