Agency,AgencyFull,Country,Total,FirstHalf,SecondHalf,SubSector,Sector,AgencyType,Ccode
IOM,IOM International Organization for Migration,Greece,300000,150000,150000,Psychosocial support,Health and Nutrition,IOM,Greece
IOM,IOM International Organization for Migration,Greece,4000000,2200000,1800000,Transport,"Logistics, Transport, Telecomms",IOM,Greece
IOM,IOM International Organization for Migration,Greece,7300000,3650000,3650000,Camp management,Shelter and NFIs,IOM,Greece
IOM,IOM International Organization for Migration,Greece,1148000,588000,560000,Operational Support,Operational Support,IOM,Greece
IOM,IOM International Organization for Migration,Croatia,1750000,875000,875000,Protection,Protection,IOM,Croatia
IOM,IOM International Organization for Migration,Croatia,1250000,625000,625000,Health,Health and Nutrition,IOM,Croatia
IOM,IOM International Organization for Migration,Croatia,1000000,500000,500000,Logistics and Transport,"Logistics, Transport, Telecomms",IOM,Croatia
IOM,IOM International Organization for Migration,Croatia,1230000,615000,615000,Shelter and Infrastructure,Shelter and NFIs,IOM,Croatia
IOM,IOM International Organization for Migration,Turkey,12750000,8750000,4000000,Protection,Protection,IOM,Turkey
IOM,IOM International Organization for Migration,Turkey,2000000,1000000,1000000,Health,Health and Nutrition,IOM,Turkey
IOM,IOM International Organization for Migration,Turkey,10000000,5000000,5000000,NFIs,Shelter and NFIs,IOM,Turkey
IOM,IOM International Organization for Migration,fYR Macedonia,2517460,1006984,1510476,Protection,Protection,IOM,Macedonia
IOM,IOM International Organization for Migration,fYR Macedonia,211640,211640,0,Health,Health and Nutrition,IOM,Macedonia
IOM,IOM International Organization for Migration,fYR Macedonia,535000,535000,0,Shelter,Shelter and NFIs,IOM,Macedonia
IOM,IOM International Organization for Migration,fYR Macedonia,125000,125000,0,Health,WASH,IOM,Macedonia
IOM,IOM International Organization for Migration,Slovenia ,1500000,750000,750000,Protection,Protection,IOM,Slovenia
IOM,IOM International Organization for Migration,Slovenia ,600000,300000,300000,Health and Nutrition,Health and Nutrition,IOM,Slovenia
IOM,IOM International Organization for Migration,Slovenia ,1750000,875000,875000,Shelter and NFIs,Shelter and NFIs,IOM,Slovenia
IOM,IOM International Organization for Migration,Slovenia ,300000,150000,150000,WASH,WASH,IOM,Slovenia
IOM,IOM International Organization for Migration,Slovenia ,800000,400000,400000,Logistics and Transport,"Logistics, Transport, Telecomms",IOM,Slovenia
IRC ,IRC International Rescue Committee,Serbia,751671.4228,400834.9392,350836.4836,Protection,Protection,INGO,Serbia
IRC ,IRC International Rescue Committee,Serbia,300000,150000,150000,Operational Support,Protection,INGO,Serbia
IRC ,IRC International Rescue Committee,Greece,4765254.833,2382627.417,2382627.417,Protection,Protection,INGO,Greece
IRC ,IRC International Rescue Committee,Greece,6083304.042,3041652.021,3041652.021,Transport,"Logistics, Transport, Telecomms",INGO,Greece
IRC ,IRC International Rescue Committee,Greece,2867038.664,1433519.332,1433519.332,Shelter,Shelter and NFIs,INGO,Greece
IRC ,IRC International Rescue Committee,Greece,2309402.46,1154701.23,1154701.23,WASH,WASH,INGO,Greece
ISRAAID,ISRAAID,Greece,400456,200228,200228,Psychosocial support,Protection,INGO,Greece
ISRAAID,ISRAAID,Greece,80076,40038,40038,Operational Support,Protection,INGO,Greece
JRS ,JRS Jesuit Refugee Services,Croatia,187920,69084,118836,Protection,Protection,INGO,Croatia
KSPM-ERP,KSPM-ERP,Greece,168042,84021,84021,Protection,Protection,NGO,Greece
La Strada,La Strada,fYR Macedonia,581395.3488,290697.6744,290697.6744,Protection,Protection,INGO,Macedonia
La Strada,La Strada,fYR Macedonia,174418.6047,87209.30233,87209.30233,NFIs,Shelter and NFIs,INGO,Macedonia
La Strada,La Strada,fYR Macedonia,69767.44186,34883.72093,34883.72093,Hygiene,WASH,INGO,Macedonia
La Strada,La Strada,fYR Macedonia,174418.6047,87209.30233,87209.30233,Food Distribution,Food,INGO,Macedonia
Legis,Legis,fYR Macedonia,953078.6517,476539.3258,476539.3258,Food Distribution,Food,INGO,Macedonia
Legis,Legis,fYR Macedonia,517977.5281,258988.764,258988.764,NFIs,Shelter and NFIs,INGO,Macedonia
Legis,Legis,fYR Macedonia,372943.8202,186471.9101,186471.9101,Hygiene,WASH,INGO,Macedonia
Macedonian Center for International Cooperation,Macedonian Center for International Cooperation,fYR Macedonia,253333.3333,133333.3333,120000,Shelter and Infrastructure,Shelter and NFIs,NGO,Macedonia
Macedonian Center for International Cooperation,Macedonian Center for International Cooperation,fYR Macedonia,246666.6667,66666.66667,180000,Sanitation,WASH,NGO,Macedonia
Macedonian Red Cross,Macedonian Red Cross,fYR Macedonia,802550.5051,427272.7273,375277.7778,Food Distribution,Food,NGO,Macedonia
Macedonian Red Cross,Macedonian Red Cross,fYR Macedonia,427878.7879,267045.4545,160833.3333,Health,Health and Nutrition,NGO,Macedonia
Macedonian Red Cross,Macedonian Red Cross,fYR Macedonia,535101.0101,267045.4545,268055.5556,NFIs,Shelter and NFIs,NGO,Macedonia
Macedonian Red Cross,Macedonian Red Cross,fYR Macedonia,374469.697,213636.3636,160833.3333,Hygiene,WASH,NGO,Macedonia
MDM Medecins du Monde,MDM Medecins du Monde,Greece,7407757,4444654,2963103,Health,Health and Nutrition,NGO,Greece
Mercy Corps,Mercy Corps,Serbia,581303,128100,453203,Shelter and Infrastructure,Shelter and NFIs,INGO,Serbia
Mercy Corps,Mercy Corps,Serbia,138634,69317,69317,Operational Support,Shelter and NFIs,INGO,Serbia
Mercy Corps,Mercy Corps,Greece,501213.5434,501213.5434,,Protection,Protection,INGO,Greece
Mercy Corps,Mercy Corps,Greece,1489988.925,1489988.925,,Food,Food,INGO,Greece
